Strategy,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
five-shot,RC_Result,7,Challenging,0.76,Correct,,b,B
five-shot,RC_Result,8,Challenging,0.7,Correct,,c,C
five-shot,RC_Result,10,Medium,0.85,Correct,,a,A
five-shot,RC_Result,13,Challenging,0.68,Correct,,c,C
five-shot,RC_Result,14,Challenging,0.79,Correct,,c,C
five-shot,RC_Result,15,Medium,0.54,Correct,,a,A
five-shot,RC_Result,16,Medium,15.37,Correct,,b,B
five-shot,RC_Result,17,Medium,0.46,Correct,,c,C
five-shot,RC_Result,18,Medium,2.38,Correct,,b,B
five-shot,RC_Result,18,Medium,0.68,Correct,,a,A
five-shot,RC_Result,20,Medium,0.46,Correct,,c,C
five-shot,RC_Result,21,Medium,0.5,Correct,,d,D
five-shot,RC_Result,22,Medium,0.62,Correct,,e,E
five-shot,RC_Result,24,Medium,0.76,Correct,,d,D
five-shot,RC_Result,25,Medium,1.37,Correct,,a,A
five-shot,RC_Result,26,Medium,1.44,Correct,,d,D
five-shot,RC_Result,27,Medium,2.06,Correct,,b,B
five-shot,RC_Result,28,Medium,0.73,Correct,,a,A
five-shot,RC_Result,28,Medium,0.67,Correct,,d,D
five-shot,RC_Result,29,Medium,0.61,Correct,,c,C
five-shot,RC_Result,32,Medium,0.71,Correct,,e,E
five-shot,RC_Result,35,Medium,2.59,Correct,,c,C
five-shot,RC_Result,37,Medium,0.61,Correct,,d,D
five-shot,RC_Result,38,Medium,4.64,Correct,,c,C
five-shot,RC_Result,40,Medium,0.41,Correct,,c,C
five-shot,RC_Result,41,Medium,0.86,Correct,,b,B
five-shot,RC_Result,43,Medium,0.59,Correct,,c,C
five-shot,RC_Result,45,Medium,2.51,Correct,,c,C
five-shot,RC_Result,47,Medium,0.76,Correct,,b,B
five-shot,RC_Result,48,Medium,0.54,Correct,,c,C
five-shot,CR,1,Medium,0.81,Correct,,b,B
five-shot,CR,3,Medium,0.86,Correct,,c,C
five-shot,CR,5,Medium,0.68,Correct,,c,C
five-shot,CR,8,Challenging,0.68,Correct,,c,C
five-shot,CR,10,Medium,15.65,Correct,,a,A
five-shot,CR,11,Challenging,0.57,Correct,,c,C
five-shot,CR,13,Challenging,2.35,Correct,,c,C
five-shot,CR,16,Medium,12.96,Correct,,b,B
five-shot,CR,18,Medium,1.12,Correct,,b,B
five-shot,CR,20,Medium,13.14,Correct,,c,C
five-shot,CR,21,Medium,2.62,Correct,,d,D
five-shot,CR,22,Medium,0.94,Correct,,e,E
five-shot,CR,24,Medium,1.01,Correct,,d,D
five-shot,CR,26,Medium,1.18,Correct,,d,D
five-shot,CR,27,Medium,0.7,Correct,,b,B
five-shot,CR,28,Medium,9.43,Correct,,a,A
five-shot,CR,28,Medium,0.83,Correct,,d,D
five-shot,CR,29,Medium,0.78,Correct,,c,C
five-shot,CR,31,Medium,7.14,Correct,,c,C
five-shot,CR,34,Medium,1.08,Correct,,c,C
five-shot,CR,35,Medium,18.14,Correct,,c,C
five-shot,CR,37,Medium,0.64,Correct,,d,D
five-shot,CR,38,Medium,1.3,Correct,,c,C
five-shot,CR,39,Medium,0.96,Correct,,b,B
five-shot,CR,40,Medium,16.34,Correct,,c,C
five-shot,CR,41,Medium,0.47,Correct,,b,B
five-shot,CR,43,Medium,0.6,Correct,,c,C
five-shot,CR,47,Medium,0.62,Correct,,b,B
five-shot,CR,48,Medium,0.38,Correct,,c,C
five-shot,RC_Result,2,Medium,1.84,Incorrect,,d,E
five-shot,RC_Result,9,Medium,2.76,Incorrect,,a,E
five-shot,RC_Result,11,Challenging,0.72,Incorrect,,c,D
five-shot,RC_Result,12,Challenging,16.23,Incorrect,,b,E
five-shot,RC_Result,23,Medium,14.92,Incorrect,,d,C
five-shot,RC_Result,30,Medium,0.79,Incorrect,,b,A
five-shot,RC_Result,31,Medium,0.58,Incorrect,,c,A
five-shot,RC_Result,31,Medium,0.61,Incorrect,,b,D
five-shot,RC_Result,33,Medium,0.63,Incorrect,,e,D
five-shot,RC_Result,34,Medium,0.82,Incorrect,,c,D
five-shot,RC_Result,36,Medium,0.62,Incorrect,,b,E
five-shot,RC_Result,39,Medium,0.9,Incorrect,,b,C
five-shot,RC_Result,42,Medium,0.74,Incorrect,,a,E
five-shot,RC_Result,44,Medium,0.65,Incorrect,,b,C
five-shot,RC_Result,46,Medium,0.82,Incorrect,,b,A
five-shot,CR,2,Medium,14.76,Incorrect,,d,E
five-shot,CR,4,Medium,0.76,Incorrect,,a,B
five-shot,CR,6,Difficult,15.45,Incorrect,,b,D
five-shot,CR,7,Challenging,1.02,Incorrect,,b,C
five-shot,CR,9,Medium,0.51,Incorrect,,a,E
five-shot,CR,12,Challenging,1.04,Incorrect,,b,C
five-shot,CR,14,Challenging,0.61,Incorrect,,c,E
five-shot,CR,15,Medium,0.53,Incorrect,,a,B
five-shot,CR,17,Medium,12.1,Incorrect,,c,A
five-shot,CR,18,Medium,0.43,Incorrect,,a,C
five-shot,CR,23,Medium,0.8,Incorrect,,d,C
five-shot,CR,25,Medium,0.58,Incorrect,,a,B
five-shot,CR,30,Medium,5.83,Incorrect,,b,A
five-shot,CR,31,Medium,0.53,Incorrect,,b,D
five-shot,CR,32,Medium,0.49,Incorrect,,e,D
five-shot,CR,33,Medium,11.09,Incorrect,,e,D
five-shot,CR,36,Medium,43.62,Incorrect,,b,E
five-shot,CR,42,Medium,0.5,Incorrect,,a,E
five-shot,CR,44,Medium,0.55,Incorrect,,b,C
five-shot,CR,45,Medium,1.0,Incorrect,,c,A
five-shot,CR,46,Medium,0.39,Incorrect,,b,A
chain-of-thought,RC_Result,1,Medium,1.87,Correct,,b,B
chain-of-thought,RC_Result,2,Medium,2.07,Correct,,d,D
chain-of-thought,RC_Result,3,Medium,52.04,Correct,,c,C
chain-of-thought,RC_Result,5,Medium,49.96,Correct,,c,C
chain-of-thought,RC_Result,6,Difficult,6.86,Correct,,b,B
chain-of-thought,RC_Result,7,Challenging,6.76,Correct,,b,B
chain-of-thought,RC_Result,8,Challenging,41.17,Correct,,c,C
chain-of-thought,RC_Result,9,Medium,3.17,Correct,,a,A
chain-of-thought,RC_Result,10,Medium,50.72,Correct,,a,A
chain-of-thought,RC_Result,11,Challenging,2.58,Correct,,c,C
chain-of-thought,RC_Result,13,Challenging,10.15,Correct,,c,C
chain-of-thought,RC_Result,16,Medium,7.33,Correct,,b,B
chain-of-thought,RC_Result,18,Medium,14.43,Correct,,a,A
chain-of-thought,RC_Result,20,Medium,3.0,Correct,,c,C
chain-of-thought,RC_Result,22,Medium,8.05,Correct,,e,E
chain-of-thought,RC_Result,26,Medium,2.16,Correct,,d,D
chain-of-thought,RC_Result,27,Medium,5.9,Correct,,b,B
chain-of-thought,RC_Result,28,Medium,14.7,Correct,,a,A
chain-of-thought,RC_Result,29,Medium,8.77,Correct,,c,C
chain-of-thought,RC_Result,32,Medium,8.26,Correct,,e,E
chain-of-thought,RC_Result,35,Medium,47.8,Correct,,c,C
chain-of-thought,RC_Result,37,Medium,13.26,Correct,,d,D
chain-of-thought,RC_Result,38,Medium,7.28,Correct,,c,C
chain-of-thought,RC_Result,40,Medium,45.66,Correct,,c,C
chain-of-thought,RC_Result,42,Medium,12.77,Correct,,a,A
chain-of-thought,RC_Result,45,Medium,6.74,Correct,,c,C
chain-of-thought,RC_Result,48,Medium,6.66,Correct,,c,C
chain-of-thought,CR,1,Medium,7.12,Correct,,b,B
chain-of-thought,CR,4,Medium,8.49,Correct,,a,A
chain-of-thought,CR,5,Medium,2.14,Correct,,c,C
chain-of-thought,CR,7,Challenging,2.29,Correct,,b,B
chain-of-thought,CR,9,Medium,75.19,Correct,,a,A
chain-of-thought,CR,10,Medium,103.84,Correct,,a,A
chain-of-thought,CR,11,Challenging,7.75,Correct,,c,C
chain-of-thought,CR,13,Challenging,2.16,Correct,,c,C
chain-of-thought,CR,15,Medium,11.67,Correct,,a,A
chain-of-thought,CR,16,Medium,6.88,Correct,,b,B
chain-of-thought,CR,18,Medium,5.2,Correct,,b,B
chain-of-thought,CR,18,Medium,7.66,Correct,,a,A
chain-of-thought,CR,20,Medium,7.15,Correct,,c,C
chain-of-thought,CR,22,Medium,1.97,Correct,,e,E
chain-of-thought,CR,25,Medium,10.19,Correct,,a,A
chain-of-thought,CR,26,Medium,2.47,Correct,,d,D
chain-of-thought,CR,27,Medium,7.09,Correct,,b,B
chain-of-thought,CR,28,Medium,59.69,Correct,,a,A
chain-of-thought,CR,28,Medium,9.49,Correct,,d,D
chain-of-thought,CR,29,Medium,6.01,Correct,,c,C
chain-of-thought,CR,31,Medium,2.52,Correct,,c,C
chain-of-thought,CR,32,Medium,8.46,Correct,,e,E
chain-of-thought,CR,35,Medium,7.68,Correct,,c,C
chain-of-thought,CR,36,Medium,3.6,Correct,,b,B
chain-of-thought,CR,37,Medium,74.07,Correct,,d,D
chain-of-thought,CR,38,Medium,10.0,Correct,,c,C
chain-of-thought,CR,41,Medium,10.23,Correct,,b,B
chain-of-thought,CR,42,Medium,12.21,Correct,,a,A
chain-of-thought,CR,47,Medium,6.98,Correct,,b,B
chain-of-thought,CR,48,Medium,5.62,Correct,,c,C
chain-of-thought,RC_Result,4,Medium,11.59,Incorrect,,a,E
chain-of-thought,RC_Result,12,Challenging,59.53,Incorrect,,b,C
chain-of-thought,RC_Result,14,Challenging,2.71,Incorrect,,c,E
chain-of-thought,RC_Result,15,Medium,3.16,Incorrect,,a,B
chain-of-thought,RC_Result,17,Medium,58.07,Incorrect,,c,E
chain-of-thought,RC_Result,18,Medium,12.06,Incorrect,,b,D
chain-of-thought,RC_Result,21,Medium,11.6,Incorrect,,d,B
chain-of-thought,RC_Result,23,Medium,2.28,Incorrect,,d,C
chain-of-thought,RC_Result,24,Medium,34.31,Incorrect,,d,E
chain-of-thought,RC_Result,25,Medium,2.81,Incorrect,,a,B
chain-of-thought,RC_Result,28,Medium,34.59,Incorrect,,d,A
chain-of-thought,RC_Result,30,Medium,50.29,Incorrect,,b,A
chain-of-thought,RC_Result,31,Medium,7.5,Incorrect,,c,A
chain-of-thought,RC_Result,31,Medium,7.54,Incorrect,,b,D
chain-of-thought,RC_Result,33,Medium,6.84,Incorrect,,e,D
chain-of-thought,RC_Result,34,Medium,8.6,Incorrect,,c,D
chain-of-thought,RC_Result,36,Medium,58.22,Incorrect,,b,E
chain-of-thought,RC_Result,39,Medium,10.55,Incorrect,,b,A
chain-of-thought,RC_Result,41,Medium,65.09,Incorrect,,b,D
chain-of-thought,RC_Result,43,Medium,3.03,Incorrect,,c,E
chain-of-thought,RC_Result,44,Medium,46.73,Incorrect,,b,A
chain-of-thought,RC_Result,46,Medium,46.22,Incorrect,,b,A
chain-of-thought,RC_Result,47,Medium,17.06,Incorrect,,b,A
chain-of-thought,CR,2,Medium,66.15,Incorrect,,d,E
chain-of-thought,CR,3,Medium,8.15,Incorrect,,c,A
chain-of-thought,CR,6,Difficult,2.48,Incorrect,,b,E
chain-of-thought,CR,8,Challenging,5.97,Incorrect,,c,B
chain-of-thought,CR,12,Challenging,2.43,Incorrect,,b,C
chain-of-thought,CR,14,Challenging,6.97,Incorrect,,c,D
chain-of-thought,CR,17,Medium,81.5,Incorrect,,c,A
chain-of-thought,CR,21,Medium,4.28,Incorrect,,d,B
chain-of-thought,CR,23,Medium,3.18,Incorrect,,d,C
chain-of-thought,CR,24,Medium,9.71,Incorrect,,d,E
chain-of-thought,CR,30,Medium,2.98,Incorrect,,b,A
chain-of-thought,CR,31,Medium,2.49,Incorrect,,b,D
chain-of-thought,CR,33,Medium,7.63,Incorrect,,e,D
chain-of-thought,CR,34,Medium,8.01,Incorrect,,c,D
chain-of-thought,CR,39,Medium,2.61,Incorrect,,b,E
chain-of-thought,CR,40,Medium,60.83,Incorrect,,c,E
chain-of-thought,CR,43,Medium,73.65,Incorrect,,c,A
chain-of-thought,CR,44,Medium,64.6,Incorrect,,b,A
chain-of-thought,CR,45,Medium,8.27,Incorrect,,c,E
chain-of-thought,CR,46,Medium,3.31,Incorrect,,b,A
