Strategy,Model,Subject,Question_Number,Difficulty,Runtime,Status,Question,Correct_Answer,Model_Answer
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.89,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Easy,0.91,Correct,N/A,C,C
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.88,Correct,N/A,C,C
zero-shot,gemini-1.5-flash,reading_comp,N/A,Hard,0.76,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Hard,1.14,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Easy,1.12,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Hard,0.96,Correct,N/A,C,C
zero-shot,gemini-1.5-flash,reading_comp,N/A,Easy,0.98,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Easy,0.85,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,1.01,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.9,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.94,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.99,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,1.7,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,1.06,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.94,Correct,N/A,C,C
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,1.01,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.94,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.96,Correct,N/A,C,C
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,1.01,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.99,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.92,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.93,Correct,N/A,C,C
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.82,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.9,Correct,N/A,C,C
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.92,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.84,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,0.95,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,reading_comp,N/A,Medium,1.24,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Hard,0.91,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Easy,0.31,Correct,N/A,A,A
zero-shot,llama-3.1-8b,reading_comp,N/A,Hard,3.15,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.42,Correct,N/A,A,A
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.4,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.95,Correct,N/A,A,A
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.68,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Easy,12.34,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,12.03,Correct,N/A,C,C
zero-shot,llama-3.1-8b,reading_comp,N/A,Easy,0.58,Correct,N/A,A,A
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.41,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.73,Correct,N/A,A,A
zero-shot,llama-3.1-8b,reading_comp,N/A,Easy,0.39,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Hard,9.63,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.73,Correct,N/A,C,C
zero-shot,llama-3.1-8b,reading_comp,N/A,Easy,0.25,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Hard,0.4,Correct,N/A,C,C
zero-shot,llama-3.1-8b,reading_comp,N/A,Easy,0.81,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.88,Correct,N/A,A,A
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.84,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Hard,9.07,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Easy,0.43,Correct,N/A,A,A
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,1.27,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Easy,0.85,Correct,N/A,C,C
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.62,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.66,Correct,N/A,A,A
zero-shot,llama-3.1-8b,reading_comp,N/A,Easy,8.2,Correct,N/A,A,A
zero-shot,llama-3.1-8b,reading_comp,N/A,Easy,0.71,Correct,N/A,A,A
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.71,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Hard,0.35,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.63,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.25,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.28,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.26,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.25,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.36,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.62,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,7.28,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.54,Correct,N/A,A,A
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.28,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,13.36,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.66,Correct,N/A,B,B
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,1.0,Correct,N/A,C,C
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.57,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.76,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.4,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.39,Correct,N/A,A,A
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.38,Correct,N/A,C,C
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.33,Correct,N/A,D,D
zero-shot,llama-3.1-8b,reading_comp,N/A,Medium,0.64,Correct,N/A,A,A
zero-shot,llama-3.1-70b,reading_comp,N/A,Hard,0.72,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Easy,0.72,Correct,N/A,A,A
zero-shot,llama-3.1-70b,reading_comp,N/A,Hard,0.41,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.82,Correct,N/A,A,A
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.45,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.72,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.36,Correct,N/A,A,A
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.37,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Easy,0.5,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.47,Correct,N/A,C,C
zero-shot,llama-3.1-70b,reading_comp,N/A,Easy,0.4,Correct,N/A,A,A
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,1.0,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Hard,0.52,Correct,N/A,C,C
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.64,Correct,N/A,A,A
zero-shot,llama-3.1-70b,reading_comp,N/A,Easy,0.37,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Hard,0.83,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.52,Correct,N/A,C,C
zero-shot,llama-3.1-70b,reading_comp,N/A,Easy,0.9,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Hard,0.51,Correct,N/A,C,C
zero-shot,llama-3.1-70b,reading_comp,N/A,Easy,0.54,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.54,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Hard,1.03,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Easy,0.64,Correct,N/A,A,A
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.57,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Easy,0.58,Correct,N/A,C,C
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.36,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.36,Correct,N/A,A,A
zero-shot,llama-3.1-70b,reading_comp,N/A,Easy,0.79,Correct,N/A,A,A
zero-shot,llama-3.1-70b,reading_comp,N/A,Easy,0.72,Correct,N/A,A,A
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.56,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Hard,1.39,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.73,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.55,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.38,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.81,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,1.0,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.33,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.48,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.64,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.36,Correct,N/A,A,A
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,1.16,Correct,N/A,A,A
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,1.36,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.32,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.75,Correct,N/A,B,B
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.48,Correct,N/A,C,C
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.53,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.75,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.62,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.27,Correct,N/A,A,A
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.57,Correct,N/A,C,C
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.66,Correct,N/A,D,D
zero-shot,llama-3.1-70b,reading_comp,N/A,Medium,0.57,Correct,N/A,A,A
zero-shot,llama-3.1-405b,reading_comp,N/A,Hard,0.77,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Easy,0.66,Correct,N/A,A,A
zero-shot,llama-3.1-405b,reading_comp,N/A,Hard,0.67,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.72,Correct,N/A,A,A
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.73,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.71,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.72,Correct,N/A,A,A
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.77,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Easy,3.74,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.62,Correct,N/A,C,C
zero-shot,llama-3.1-405b,reading_comp,N/A,Easy,0.58,Correct,N/A,A,A
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.73,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Hard,0.97,Correct,N/A,C,C
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.93,Correct,N/A,A,A
zero-shot,llama-3.1-405b,reading_comp,N/A,Easy,0.7,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Hard,0.67,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.76,Correct,N/A,C,C
zero-shot,llama-3.1-405b,reading_comp,N/A,Easy,0.82,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Hard,0.74,Correct,N/A,C,C
zero-shot,llama-3.1-405b,reading_comp,N/A,Easy,0.79,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.92,Correct,N/A,A,A
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.84,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Easy,0.88,Correct,N/A,A,A
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.78,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Easy,0.63,Correct,N/A,C,C
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,1.06,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.75,Correct,N/A,A,A
zero-shot,llama-3.1-405b,reading_comp,N/A,Easy,0.81,Correct,N/A,A,A
zero-shot,llama-3.1-405b,reading_comp,N/A,Easy,0.8,Correct,N/A,A,A
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.51,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Hard,0.56,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.63,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.7,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.72,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.74,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.97,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.78,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.72,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,1.08,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.5,Correct,N/A,A,A
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.77,Correct,N/A,A,A
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.71,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.66,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,3.72,Correct,N/A,B,B
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.59,Correct,N/A,C,C
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.65,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.77,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.51,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.62,Correct,N/A,A,A
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.87,Correct,N/A,C,C
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.58,Correct,N/A,D,D
zero-shot,llama-3.1-405b,reading_comp,N/A,Medium,0.64,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,1.24,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,1.11,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Easy,1.35,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,1.1,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,3.54,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Easy,0.92,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,1.09,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Hard,1.02,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,0.99,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,1.27,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Hard,0.71,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,1.03,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,0.87,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Easy,0.79,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,1.49,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Hard,0.9,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Easy,0.94,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Hard,0.87,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Easy,1.03,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Easy,1.21,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,1.13,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,0.79,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,1.0,Correct,N/A,C,C
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,0.97,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,4.38,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,0.9,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,1.14,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,1.05,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,0.89,Correct,N/A,C,C
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,0.73,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,1.09,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,0.94,Correct,N/A,A,A
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,0.95,Correct,N/A,D,D
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,0.88,Correct,N/A,B,B
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,0.94,Correct,N/A,C,C
zero-shot,gemini-1.5-flash,expression_of_ideas,N/A,Medium,1.47,Correct,N/A,A,A
zero-shot,gpt-4o-mini,reading_comp,N/A,Easy,14.04,Correct,N/A,A,A
zero-shot,gpt-4o-mini,reading_comp,N/A,Hard,5.56,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Easy,3.79,Correct,N/A,A,A
zero-shot,gpt-4o-mini,reading_comp,N/A,Hard,4.88,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Easy,3.97,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Hard,12.0,Correct,N/A,C,C
zero-shot,gpt-4o-mini,reading_comp,N/A,Hard,1.65,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,16.35,Correct,N/A,C,C
zero-shot,gpt-4o-mini,reading_comp,N/A,Easy,12.21,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Easy,11.84,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Easy,18.01,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Hard,11.99,Correct,N/A,A,A
zero-shot,gpt-4o-mini,reading_comp,N/A,Hard,3.25,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Hard,3.29,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Easy,14.42,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Hard,0.59,Correct,N/A,A,A
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,0.67,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,16.29,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,1.33,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Easy,5.0,Correct,N/A,A,A
zero-shot,gpt-4o-mini,reading_comp,N/A,Hard,0.43,Correct,N/A,C,C
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,0.84,Correct,N/A,A,A
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,9.17,Correct,N/A,C,C
zero-shot,gpt-4o-mini,reading_comp,N/A,Hard,1.38,Correct,N/A,A,A
zero-shot,gpt-4o-mini,reading_comp,N/A,Easy,16.62,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,18.31,Correct,N/A,A,A
zero-shot,gpt-4o-mini,reading_comp,N/A,Easy,17.72,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,3.35,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Easy,14.65,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,12.07,Correct,N/A,C,C
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,0.61,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Hard,15.06,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,18.0,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Hard,11.99,Correct,N/A,A,A
zero-shot,gpt-4o-mini,reading_comp,N/A,Hard,1.52,Correct,N/A,C,C
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,10.51,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,17.99,Correct,N/A,C,C
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,3.4,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,14.57,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,18.01,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,18.02,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,1.93,Correct,N/A,C,C
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,10.06,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,18.02,Correct,N/A,C,C
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,12.05,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,1.48,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,0.6,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,0.66,Correct,N/A,B,B
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,9.19,Correct,N/A,C,C
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,1.52,Correct,N/A,A,A
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,2.28,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,2.94,Correct,N/A,D,D
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,0.53,Correct,N/A,C,C
zero-shot,gpt-4o-mini,reading_comp,N/A,Medium,10.74,Correct,N/A,B,B
